date,Bomi,Grand Gedeh,Grand Bassa,Margibi,Grand Kru,Montserrado,Nimba,Gbarpolu,Sinoe,River Gee,Grand Cape Mount,Lofa,Bong,RiverCess,Maryland
2014-06-16,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0
2014-06-17,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0
2014-06-22,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0
2014-06-24,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0
2014-06-25,0,0,0,1,0,13,0,0,0,0,0,21,0,0,0
2014-06-28,0,0,0,1,0,14,0,0,0,0,0,26,0,0,0
2014-06-29,0,0,0,1,0,16,0,0,0,0,0,26,0,0,0
2014-07-01,0,0,0,1,0,20,0,0,0,0,0,27,0,0,0
2014-07-02,0,0,0,1,0,20,0,0,0,0,0,27,0,0,0
2014-07-03,0,0,0,1,0,21,0,0,0,0,0,27,0,0,0
2014-07-07,0,0,0,1,0,22,0,0,0,0,0,39,0,0,0
2014-07-08,0,0,0,1,0,22,0,0,0,0,0,39,0,0,0
2014-07-10,1,0,0,1,0,23,0,0,0,0,0,39,0,0,0
2014-07-13,1,0,0,1,0,23,0,0,0,0,0,39,0,0,0
2014-07-17,1,0,0,1,0,23,0,0,0,0,0,41,4,0,0
2014-07-20,1,0,0,1,0,23,1,0,0,0,0,41,4,0,0
2014-07-24,1,0,0,2,0,27,2,0,0,0,0,44,10,0,0
2014-07-26,7,0,0,2,0,27,2,0,0,0,0,44,10,0,0
2014-08-02,7,0,0,2,0,42,5,0,0,0,3,63,10,0,0
2014-08-04,7,0,0,2,0,43,5,0,0,0,3,67,10,0,0
2014-08-12,9,0,6,2,0,43,7,0,0,0,4,90,14,1,0
2014-08-15,9,0,6,2,0,43,7,0,0,0,4,104,18,1,0
2014-08-17,9,0,6,2,0,43,7,0,0,0,4,118,18,1,0
2014-08-18,9,0,6,27,0,43,8,0,0,0,4,118,20,1,0
2014-08-20,9,0,6,27,0,43,8,0,1,0,4,144,20,1,0
2014-08-25,21,0,6,27,0,44,25,0,1,0,4,173,20,1,0
2014-08-28,21,0,11,27,0,44,30,0,1,0,4,210,20,1,0
2014-09-01,31,0,11,30,0,44,40,0,1,0,4,220,24,1,0
2014-09-02,31,0,13,30,0,225,41,0,1,0,4,220,24,1,0
2014-09-03,31,0,13,30,0,225,41,0,1,0,4,238,24,1,0
2014-09-04,31,0,13,30,0,226,41,0,1,0,4,249,24,1,0
2014-09-05,33,0,13,30,0,226,41,0,1,0,4,249,24,1,0
