date,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe
2014-08-12,378,259,1,1,0,7,2,24,3,22,5,1
2014-08-13,389,261,1,1,0,7,2,24,3,23,5,1
2014-08-14,389,270,1,1,0,7,2,26,3,23,6,1
2014-08-15,389,273,1,1,0,7,2,28,3,24,6,1
2014-08-16,401,277,1,1,0,7,2,28,3,24,6,1
2014-08-17,401,280,1,1,0,7,2,28,3,24,6,1
2014-08-18,406,280,1,1,0,7,2,28,3,24,6,1
2014-08-19,409,285,1,1,0,10,2,31,3,26,8,1
2014-08-20,410,290,1,1,0,10,2,33,4,26,8,1
2014-08-21,411,290,1,1,0,11,8,33,4,27,8,1
2014-08-22,417,303,1,1,0,17,10,47,5,33,9,1
2014-08-23,428,308,1,1,0,17,10,54,5,33,9,1
2014-08-24,440,320,1,1,0,17,11,54,5,35,9,1
2014-08-25,440,326,1,1,0,20,13,57,7,35,9,1
2014-08-26,440,328,1,1,0,20,13,57,7,35,9,1
2014-08-27,448,332,1,1,0,23,14,57,7,35,9,1
2014-08-28,453,336,1,1,0,35,14,62,7,35,9,1
2014-08-29,457,339,1,1,0,35,14,62,7,39,9,1
2014-08-30,461,350,1,1,0,39,16,70,7,45,9,1
2014-08-31,461,350,1,1,0,39,16,70,7,45,9,1
2014-09-01,470,356,4,1,0,44,16,70,7,51,9,1
2014-09-02,480,365,4,1,0,44,17,75,7,52,9,1
2014-09-03,494,367,8,1,0,44,19,76,8,52,9,1
2014-09-05,504,372,9,1,0,52,19,89,8,62,12,1
2014-09-06,504,378,12,1,0,67,21,98,8,64,13,1
2014-09-07,504,384,12,1,0,67,21,98,10,65,13,1
2014-09-08,508,387,12,1,0,67,21,101,10,65,14,1
2014-09-09,508,394,14,1,0,73,25,105,10,65,14,1
2014-09-10,508,395,14,2,0,73,26,119,10,67,14,1
2014-09-11,508,396,15,3,0,73,29,132,10,74,17,1
2014-09-12,508,397,15,3,0,82,30,142,10,75,17,1
2014-09-13,528,398,15,3,0,82,31,143,10,76,17,1
2014-09-14,528,408,15,3,0,113,32,143,10,76,17,1
2014-09-15,529,409,15,3,0,113,32,155,10,76,17,1
2014-09-16,551,410,15,3,0,113,35,155,10,77,17,1
2014-09-17,529,412,15,4,0,122,39,160,10,77,24,1
2014-09-18,529,412,16,4,0,122,44,175,10,77,24,1
2014-09-19,529,413,16,4,0,122,44,176,10,77,33,1
2014-09-20,529,414,18,4,0,148,44,177,10,77,41,1
2014-09-21,529,416,18,10,0,148,56,187,13,77,41,1
2014-09-22,529,417,18,10,0,148,59,187,13,83,42,1
2014-09-23,529,417,18,10,0,149,60,201,16,84,50,1
2014-09-24,529,422,18,12,0,180,60,213,16,82,50,1
2014-09-25,529,423,18,12,0,180,65,231,16,83,50,1
2014-09-26,529,426,18,12,0,196,65,231,16,84,54,1
2014-09-27,529,426,18,12,0,223,65,231,16,89,55,1
2014-09-28,529,426,18,14,0,227,74,270,19,91,55,1
2014-09-29,529,427,20,18,0,227,78,294,19,91,55,1
2014-09-30,529,428,19,18,0,227,78,295,19,100,57,1
2014-10-01,530,429,23,18,0,227,78,305,19,96,58,1
2014-10-03,530,431,23,21,0,241,86,309,21,96,60,1
2014-10-04,531,431,23,21,0,294,86,340,22,106,66,1
2014-10-05,532,431,25,21,0,294,100,346,24,107,68,1
2014-10-06,532,431,25,21,0,308,100,348,24,117,68,1
2014-10-07,533,431,26,22,0,333,114,343,24,113,70,1
2014-10-08,533,431,29,22,0,333,114,343,24,114,72,1
2014-10-10,533,436,29,22,0,347,115,372,24,118,72,1
2014-10-11,533,437,31,24,0,369,127,398,24,125,75,1
2014-10-13,536,454,31,25,0,388,129,405,24,127,77,1
2014-10-14,536,461,31,25,2,402,138,425,24,132,77,1
2014-10-15,537,462,34,25,2,403,138,425,24,138,80,2
2014-10-16,541,462,34,25,2,435,138,427,24,138,80,2
2014-10-17,541,466,34,26,2,435,146,427,25,141,83,2
2014-10-18,545,470,34,26,2,441,146,435,25,143,83,2
2014-10-19,545,470,34,26,2,441,150,444,25,148,85,2
2014-10-20,549,474,34,26,5,466,157,460,25,149,86,2
2014-10-21,550,475,34,29,5,470,157,480,25,158,86,2
2014-10-22,550,477,34,30,5,470,165,480,26,159,86,2
2014-10-23,551,477,38,30,5,470,166,486,26,159,86,2
2014-10-24,551,479,38,30,9,484,173,486,26,159,88,2
2014-10-25,551,483,38,30,9,497,180,491,26,162,90,2
2014-10-26,551,483,38,30,13,497,187,497,26,162,93,2
2014-10-27,551,484,39,31,13,529,193,514,26,169,93,2
2014-10-28,551,488,38,36,15,541,199,518,28,169,96,2
2014-10-31,551,491,38,38,15,556,208,535,28,175,96,2
2014-10-31,554,493,38,39,15,571,210,557,28,175,96,2
2014-11-01,554,493,38,46,23,581,217,559,28,177,96,2
2014-11-02,555,493,38,46,23,588,217,561,28,177,96,2
2014-11-06,555,493,42,50,44,632,241,565,28,184,118,2
